date,open,high,low,close,volume,daily_return_pct,daily_range,ma_20,ma_50,ma_200,ema_12,ema_26,macd,macd_signal,bb_upper,bb_lower,bb_width,rsi_14,volume_ma_20,cumulative_return_pct,year,month,quarter,day_of_week
2019-10-28,171.1,174.15,170.95,173.5,62918,1.5808,3.2,161.6125,156.533,152.545,167.6206,162.9158,4.7048,3.6175,179.5415,143.6835,35.858,90.4041,80670.9,896.58,2019,10,4,monday
2019-10-29,173.1,173.75,171.8,172.2,69295,-0.7493,1.95,162.3375,157.051,152.667,168.3251,163.6035,4.7216,3.8383,180.7661,143.909,36.8571,86.3487,81236.15,889.12,2019,10,4,tuesday
2019-10-30,175.5,176.35,171.65,173.2,102397,0.5807,4.7,163.24,157.626,152.7975,169.0751,164.3144,4.7607,4.0228,181.9522,144.5278,37.4244,85.0181,82697.6,894.86,2019,10,4,wednesday
2019-10-31,172.55,172.7,168.7,169.9,98973,-1.9053,4.0,164.2075,158.1,152.92,169.202,164.7281,4.4739,4.113,182.1419,146.2731,35.8687,68.6975,83819.8,875.9,2019,10,4,thursday
2019-11-01,170.9,172.8,170.65,172.55,65009,1.5597,2.15,165.4125,158.642,153.0478,169.7171,165.3075,4.4096,4.1723,182.083,148.742,33.341,70.3187,81670.35,891.13,2019,11,4,friday
2019-11-04,174.5,177.55,174.0,177.35,122393,2.7818,3.55,166.8275,159.307,153.198,170.8914,166.1996,4.6918,4.2762,182.4196,151.2355,31.1841,73.5346,85659.55,918.7,2019,11,4,monday
2019-11-05,177.35,178.55,176.05,178.45,82197,0.6202,2.5,168.275,159.996,153.3608,172.0542,167.107,4.9472,4.4104,182.4001,154.1499,28.2503,70.8984,86209.25,925.02,2019,11,4,tuesday
2019-11-06,178.0,179.15,177.15,178.05,65188,-0.2241,2.0,169.6725,160.634,153.527,172.9767,167.9176,5.0591,4.5402,181.5834,157.7616,23.8217,67.6289,86242.0,922.72,2019,11,4,wednesday
2019-11-07,178.65,182.5,178.65,182.5,105362,2.4993,3.85,171.1075,161.375,153.6975,174.4418,168.9978,5.444,4.7209,181.822,160.393,21.429,77.0795,88251.4,948.28,2019,11,4,thursday
2019-11-08,182.0,182.05,179.65,180.85,73240,-0.9041,2.4,172.1,162.05,153.8308,175.4277,169.8757,5.552,4.8871,182.5464,161.6536,20.8928,71.2454,86226.95,938.8,2019,11,4,friday
2019-11-11,180.0,181.15,177.25,181.0,64021,0.0829,3.9,173.0325,162.701,153.9733,176.285,170.6997,5.5852,5.0268,183.1384,162.9266,20.2117,70.8179,84632.8,939.66,2019,11,4,monday
2019-11-12,181.45,182.25,180.15,181.85,57737,0.4696,2.1,173.92,163.359,154.129,177.1411,171.5257,5.6154,5.1445,183.8388,164.0012,19.8376,71.4546,82503.55,944.54,2019,11,4,tuesday
2019-11-13,180.1,180.55,177.8,179.8,50570,-1.1273,2.75,174.5225,163.979,154.2725,177.5502,172.1386,5.4116,5.1979,184.3265,164.7185,19.608,64.1304,76514.0,932.77,2019,11,4,wednesday
2019-11-14,179.4,179.95,178.05,179.35,54554,-0.2503,1.9,175.015,164.548,154.4093,177.8271,172.6728,5.1543,5.1892,184.746,165.284,19.462,65.9218,72754.3,930.18,2019,11,4,thursday
2019-11-15,180.0,181.75,179.75,181.75,56606,1.3382,2.0,175.71,165.108,154.5535,178.4306,173.3452,5.0854,5.1684,185.2704,166.1496,19.1207,65.5367,70600.6,943.97,2019,11,4,friday
2019-11-18,181.6,181.85,173.95,175.75,132881,-3.3012,7.9,176.035,165.558,154.6798,178.0182,173.5233,4.4949,5.0337,185.0998,166.9702,18.1296,55.68,74521.65,909.51,2019,11,4,monday
2019-11-19,175.6,179.25,175.15,177.45,86272,0.9673,4.1,176.4175,165.977,154.8065,177.9308,173.8142,4.1166,4.8503,185.0077,167.8273,17.1804,56.651,76536.55,919.27,2019,11,4,tuesday
2019-11-20,177.25,177.25,175.2,175.75,99140,-0.958,2.05,176.7025,166.326,154.9273,177.5953,173.9576,3.6377,4.6078,184.7652,168.6398,16.1255,59.6376,79478.1,909.51,2019,11,4,wednesday
2019-11-21,174.85,177.2,174.0,177.1,93229,0.7681,3.2,176.9575,166.693,155.0788,177.5191,174.1903,3.3288,4.352,184.7107,169.2043,15.5064,57.8313,80460.4,917.26,2019,11,4,thursday
